,year,weighted_average_vote
689,1928,7.5
690,1928,7.2
691,1928,6.3
692,1928,6.9
693,1928,8.0
694,1928,7.2
695,1929,6.9
696,1928,7.1
697,1930,7.0
698,1929,5.8
699,1929,7.0
700,1928,7.6
701,1929,7.3
702,1929,7.4
703,1929,5.5
704,1929,4.9
705,1929,5.4
706,1929,5.6
707,1929,7.0
708,1929,6.2
709,1929,6.4
710,1929,5.7
711,1929,6.4
712,1929,6.0
713,1929,6.7
714,1929,7.0
715,1929,6.4
716,1929,5.8
717,1929,6.4
718,1929,6.5
719,1929,5.9
720,1929,6.5
721,1929,6.1
722,1929,6.2
723,1928,6.2
724,1929,3.1
725,1929,7.0
726,1929,7.2
727,1929,6.8
728,1929,6.6
729,1929,5.9
730,1929,6.6
731,1929,6.0
732,1929,7.3
733,1929,6.9
734,1929,5.2
735,1929,5.8
736,1928,7.2
737,1929,6.7
738,1929,6.4
739,1929,5.2
740,1929,6.1
741,1929,6.6
742,1929,5.8
743,1929,6.8
744,1929,7.2
745,1929,5.1
746,1929,5.3
747,1929,5.8
748,1929,5.9
749,1929,6.6
750,1929,6.1
751,1929,5.9
752,1928,5.5
753,1929,7.0
754,1929,7.0
755,1929,6.1
756,1929,6.9
757,1929,7.3
758,1929,6.7
759,1928,6.7
760,1929,6.1
761,1929,6.7
762,1929,6.8
763,1929,6.0
764,1929,7.1
765,1929,6.5
766,1929,7.8
767,1929,6.0
768,1929,6.2
769,1929,6.2
770,1929,5.6
771,1930,7.4
772,1929,5.7
773,1929,7.0
774,1929,7.3
775,1929,6.7
776,1929,6.1
777,1929,5.2
778,1929,5.7
779,1928,6.5
780,1929,6.8
781,1929,7.3
782,1929,7.3
783,1929,5.8
784,1929,6.0
785,1929,6.9
786,1929,7.1
787,1929,6.5
788,1930,6.7
789,1932,7.1
790,1929,5.5
791,1929,6.8
792,1929,6.1
793,1928,7.2
794,1930,6.0
795,1929,6.9
796,1929,6.1
797,1929,5.5
798,1929,6.0
799,1929,6.1
800,1929,6.3
801,1929,6.1
802,1929,5.8
803,1930,6.9
804,1929,6.7
805,1929,5.5
806,1929,5.0
807,1929,6.1
808,1929,7.0
809,1929,4.9
810,1929,7.3
811,1929,6.1
812,1929,5.7
813,1929,6.5
814,1929,7.9
815,1929,6.3
816,1929,5.6
817,1929,5.9
818,1929,5.8
819,1929,5.9
820,1929,6.6
821,1929,6.4
822,1929,6.6
823,1929,6.6
824,1929,6.1
825,1929,5.8
826,1929,5.1
827,1929,5.3
828,1929,6.0
829,1928,6.9
830,1929,6.8
831,1929,6.4
832,1929,7.2
833,1929,6.0
834,1929,6.6
835,1929,7.2
836,1929,6.6
837,1929,6.4
838,1929,7.2
839,1929,6.3
840,1930,5.7
841,1930,8.0
842,1930,7.5
843,1930,6.6
844,1930,6.9
845,1930,7.2
846,1930,5.1
847,1930,6.4
848,1930,5.8
849,1931,5.4
850,1930,6.2
851,1930,7.1
852,1930,5.9
853,1930,7.2
854,1930,6.0
855,1929,6.1
856,1930,7.7
857,1930,6.2
858,1930,5.4
859,1930,5.6
860,1930,5.6
861,1930,4.7
862,1930,6.2
863,1930,5.7
864,1930,5.7
865,1930,7.8
866,1930,5.4
867,1929,7.6
868,1930,6.1
869,1930,6.2
870,1931,7.0
871,1930,7.2
872,1930,6.5
873,1930,6.0
874,1930,6.8
875,1930,5.3
876,1930,6.5
877,1930,5.8
878,1930,6.6
879,1930,5.3
880,1930,5.9
881,1930,5.2
882,1930,6.2
883,1932,6.9
884,1930,6.7
885,1930,6.5
886,1930,6.1
887,1930,6.5
888,1930,6.5
889,1930,6.1
890,1930,5.6
891,1930,5.3
892,1930,6.0
893,1930,4.4
894,1930,5.5
895,1930,5.4
896,1930,6.1
897,1929,5.5
898,1930,5.5
899,1930,7.4
900,1930,6.5
901,1930,6.4
902,1930,6.4
903,1930,6.1
904,1930,5.4
905,1930,6.7
906,1930,5.4
907,1930,6.7
908,1930,6.7
